
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021459                       # Number of seconds simulated (Second)
simTicks                                  21459017000                       # Number of ticks simulated (Tick)
finalTick                                 21459017000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    136.32                       # Real time elapsed on the host (Second)
hostTickRate                                157417098                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8537080                       # Number of bytes of host memory used (Byte)
simInsts                                     19741461                       # Number of instructions simulated (Count)
simOps                                       36627664                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   144817                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     268690                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         21459018                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.087003                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.919961                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36794171                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      247                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       62325983                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  15519                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               166748                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            251140                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  94                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            21347265                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.919624                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.436917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5297608     24.82%     24.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2911838     13.64%     38.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1935901      9.07%     47.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1667584      7.81%     55.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3204718     15.01%     70.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2827512     13.25%     83.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1742004      8.16%     91.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    949665      4.45%     96.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    810435      3.80%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              21347265                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   15786      0.33%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.33% # attempts to use FU when none available (Count)
