
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014874                       # Number of seconds simulated (Second)
simTicks                                  14874121000                       # Number of ticks simulated (Tick)
finalTick                                 14874121000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    108.55                       # Real time elapsed on the host (Second)
hostTickRate                                137023766                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8519156                       # Number of bytes of host memory used (Byte)
simInsts                                     19741358                       # Number of instructions simulated (Count)
simOps                                       36627469                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   181861                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     337420                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         14874122                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.753450                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.327228                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36761305                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      244                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       47967865                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8881                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               134074                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            185248                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14829844                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.234550                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.631206                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3303757     22.28%     22.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2015636     13.59%     35.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1329135      8.96%     44.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1045451      7.05%     51.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2157694     14.55%     66.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1717765     11.58%     78.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1064644      7.18%     85.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1015955      6.85%     92.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1179807      7.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14829844                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   13099      0.66%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.66% # attempts to use FU when none available (Count)
