
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007260                       # Number of seconds simulated (Second)
simTicks                                   7259798000                       # Number of ticks simulated (Tick)
finalTick                                  7259798000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     46.58                       # Real time elapsed on the host (Second)
hostTickRate                                155842861                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8528628                       # Number of bytes of host memory used (Byte)
simInsts                                      6612408                       # Number of instructions simulated (Count)
simOps                                       11577005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141945                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     248518                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7259799                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.097905                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.910825                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11729022                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    78939                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19381394                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  19622                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               230870                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            407597                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5034                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7150178                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.710617                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.404579                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1894965     26.50%     26.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1139986     15.94%     42.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    720746     10.08%     52.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    532401      7.45%     59.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    900653     12.60%     72.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    895738     12.53%     85.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    558409      7.81%     92.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    287283      4.02%     96.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    219997      3.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7150178                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   14231      0.89%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.89% # attempts to use FU when none available (Count)
